dog,condition,choice,test_trial_number,latency,first_trial_fam,first_trial_fam_type,first_baited_box,age,sex,breed,fci_group,communicator,hider,correct
1,TrueBelief,baited,7,1.9,1,displacement,blue,7,f,collie,1,LL,GPL,1
2,TrueBelief,baited,7,1.21666667,1,displacement,brown,2,f,white_swiss_shepherd,1,LL,GPL,1
3,FalseBelief,baited,7,1.4,1,displacement,blue,3,m,white_swiss_shepherd,1,LL,GPL,1
4,TrueBelief,baited,7,15.56666663,1,no_displacement,brown,1,m,border_collie,1,LL,GPL,1
5,FalseBelief,baited,9,2.08333334,1,displacement,blue,2,m,australian_shepherd,1,LL,GPL,1
6,FalseBelief,baited,7,2.96666666,1,no_displacement,brown,5,m,golden_retriever,8,LL,GPL,1
7,FalseBelief,baited,7,60.1,1,displacement,blue,1,m,swiss_hound,6,LL,GPL,1
8,TrueBelief,baited,7,2.1,1,displacement,blue,1,f,labrador,8,LL,LB,1
9,FalseBelief,empty,9,1.58333333,1,no_displacement,brown,5,m,border_collie,1,LL,LB,0
10,FalseBelief,baited,7,1.45,1,no_displacement,brown,14,f,chesapeake_bay_retriever,8,LL,GPL,1
11,FalseBelief,empty,7,1.25,1,displacement,blue,10,m,chesapeake_bay_retriever,8,LL,GPL,0
12,TrueBelief,empty,7,0.96666666,1,no_displacement,brown,2,m,chesapeake_bay_retriever,8,LL,GPL,0
13,TrueBelief,baited,7,1.21666667,1,no_displacement,blue,6,m,australian_shepherd,1,LL,GPL,1
14,TrueBelief,empty,7,1.3,1,no_displacement,blue,3,f,border_collie,1,LL,GPL,0
15,TrueBelief,baited,7,2.28333333,1,no_displacement,blue,0.83,f,australian_shepherd,1,LL,GPL,1
16,FalseBelief,empty,7,1.48333333,1,displacement,brown,10,m,german_shepherd,1,LL,GPL,0
17,FalseBelief,baited,9,1.35,1,displacement,blue,3,m,collie,1,LL,EPA,1
18,TrueBelief,empty,9,1.31666667,1,displacement,brown,9,f,border_collie,1,LL,AH,0
19,TrueBelief,empty,7,2.43333333,1,no_displacement,blue,0.42,f,german_shepherd,1,LL,EPA,0
20,TrueBelief,empty,11,4.41666667,1,displacement,brown,5,m,belgian_shepherd,1,LL,EPA,0
21,FalseBelief,baited,7,2.08333333,1,displacement,brown,3,f,white_swiss_shepherd,1,LL,AH,1
22,TrueBelief,baited,7,1.56666667,1,no_displacement,brown,11,f,border_collie,1,LL,GPL,1
23,FalseBelief,empty,11,2.5,1,no_displacement,brown,4,f,flat_coated_retriever,8,LL,GPL,0
24,FalseBelief,empty,7,1.98333333,1,displacement,blue,0.67,f,border_collie,1,LL,GPL,0
25,FalseBelief,baited,9,1.56666667,1,displacement,blue,6,m,belgian_shepherd,1,LL,GPL,1
26,FalseBelief,empty,7,1.75,1,no_displacement,brown,7,f,border_collie,1,LL,GPL,0
27,TrueBelief,baited,9,1.9333333,1,no_displacement,brown,11,f,labrador,8,LL,GPL,1
28,FalseBelief,baited,7,1.7,1,no_displacement,blue,7,f,australian_shepherd,1,LL,GPL,1
29,TrueBelief,baited,7,3.7,1,displacement,brown,7,m,beagle,6,LL,GPL,1
30,FalseBelief,empty,10,1.78333333,1,displacement,blue,2,f,australian_shepherd,1,LL,SV,0
31,FalseBelief,baited,7,2.55,1,displacement,brown,4,f,border_collie,1,LL,SV,1
32,TrueBelief,baited,7,14.6,1,no_displacement,brown,7,m,vizsla,7,LL,SV,1
33,TrueBelief,empty,9,2.16666667,1,no_displacement,blue,10,m,border_collie,1,LL,SV,0
34,TrueBelief,baited,7,1.56666666,1,no_displacement,brown,1,m,saluki,10,LL,GP,1
35,FalseBelief,baited,7,1.86666667,1,no_displacement,brown,4,f,siberian_husky,5,LL,GP,1
36,TrueBelief,empty,9,2.51666667,0,displacement,blue,7,m,labrador,8,LL,GP,0
37,TrueBelief,empty,7,1.36666667,1,no_displacement,blue,4,f,parson_russel_terrier,3,LL,GP,0
38,TrueBelief,baited,7,1.4,1,displacement,brown,2,m,shetland_sheep_dog,1,LL,GP,1
39,TrueBelief,empty,9,0.96666667,1,displacement,brown,6,f,australian_shepherd,1,LL,SV,0
40,FalseBelief,empty,7,2.71666667,1,no_displacement,blue,6,f,shetland_sheep_dog,1,LL,SV,0
41,TrueBelief,baited,7,1.2,1,no_displacement,brown,5,m,german_shepherd,1,LL,SV,1
42,TrueBelief,empty,7,1.38333333,1,no_displacement,blue,4,f,shetland_sheep_dog,1,LL,SV,0
43,FalseBelief,empty,7,1.9,1,no_displacement,brown,5,m,labrador,8,LL,SV,0
44,FalseBelief,empty,9,1.36666666,1,displacement,brown,1,f,labrador,8,LL,SV,0
45,FalseBelief,empty,9,1.45,1,displacement,blue,4,f,labrador,8,LL,SV,0
46,TrueBelief,baited,7,2.316666667,1,no_displacement,blue,5,m,siberian_husky,5,LL,SV,1
47,FalseBelief,empty,7,1.35,1,no_displacement,brown,4,m,shetland_sheep_dog,1,LL,SV,0
48,FalseBelief,baited,7,1.066666667,1,no_displacement,blue,3,f,beagle,6,LL,GPL,1
49,FalseBelief,baited,7,1.85,1,no_displacement,blue,5,m,fox_terrier,3,LL,GP,1
50,FalseBelief,empty,9,1.9,1,no_displacement,blue,10,m,whippet,10,LL,GPL,0
51,FalseBelief,baited,7,1.983333333,1,displacement,blue,5,f,border_collie,1,LL,SV,1
52,TrueBelief,baited,7,1.133333333,1,displacement,blue,2,f,australian_shepherd,1,LL,SV,1
53,TrueBelief,baited,7,1.816666667,1,displacement,brown,12,f,labrador,8,LL,SV,1
54,TrueBelief,baited,11,5.483333333,0,displacement,brown,7,f,golden_retriever,8,LL,SV,1
55,TrueBelief,baited,7,99.21666667,1,no_displacement,blue,4,m,golden_retriever,8,LL,SV,1
56,FalseBelief,empty,7,2.566666667,1,displacement,brown,1,f,airedale_terrier,3,LL,SV,0
57,TrueBelief,baited,7,1.11666666,1,displacement,brown,9,f,shetland_sheep_dog,1,LL,GP,1
58,TrueBelief,empty,7,1.73333333,1,displacement,blue,7,f,shetland_sheep_dog,1,LL,GP,0
59,FalseBelief,baited,7,1.65,1,no_displacement,brown,1,m,border_collie,1,LL,GP,1
60,TrueBelief,empty,7,2.11666666,1,no_displacement,blue,7,f,coonhound,6,LL,SV,0
61,FalseBelief,baited,7,1.38333333,1,displacement,brown,5,f,parson_russel_terrier,3,LL,SV,1
62,TrueBelief,baited,9,1.95,1,displacement,blue,5,m,irish_setter,7,LL,SV,1
63,FalseBelief,empty,7,1.28333334,1,no_displacement,blue,4,f,vizsla,7,LL,SV,0
64,TrueBelief,empty,7,1.35,1,no_displacement,brown,2,f,australian_shepherd,1,LL,SV,0
65,FalseBelief,empty,9,1.08333333,1,displacement,brown,5,f,australian_shepherd,1,LL,SV,0
66,TrueBelief,baited,7,2.5,1,displacement,blue,10,f,spanish_greyhound,10,LL,SV,1
67,FalseBelief,empty,7,2,1,no_displacement,brown,8,f,beagle,6,LL,SV,0
68,FalseBelief,baited,7,1.36666667,1,displacement,brown,7,m,vizsla,7,LL,SV,1
69,TrueBelief,baited,7,1.25,1,displacement,blue,7,m,giant_schnauzer,2,LL,SV,1
70,TrueBelief,baited,7,1.7,1,displacement,brown,5,m,weimaraner,7,LL,GP,1
71,FalseBelief,empty,9,3.15,1,no_displacement,blue,0.83,m,weimaraner,7,LL,GP,0
72,FalseBelief,baited,7,2.1,0,no_displacement,blue,10,f,saluki,10,LL,GP,1
73,FalseBelief,baited,9,2.71666667,1,displacement,blue,9,f,saluki,10,LL,GP,1
74,TrueBelief,baited,7,1.93333333,1,displacement,brown,4,f,vizsla,7,LL,GP,1
75,FalseBelief,baited,7,20.71666667,1,no_displacement,brown,11,m,bernese_mountain_dog,2,LL,JK,1
76,TrueBelief,baited,10,4.55,0,no_displacement,blue,8,f,bullmastiff,2,LL,JK,1
77,FalseBelief,baited,7,1.6,1,no_displacement,blue,10,f,german_shepherd,1,LL,JK,1
78,FalseBelief,empty,7,4.48333333,1,displacement,blue,1,m,irish_setter,7,LL,JK,0
79,TrueBelief,empty,7,2.21666667,1,displacement,blue,9,f,samoyed,5,LL,SV,0
80,FalseBelief,empty,7,4.93333333,1,displacement,brown,1,f,rhodesian_ridgeback,6,LL,SV,0
81,TrueBelief,empty,7,1.4,1,no_displacement,brown,2,f,rhodesian_ridgeback,6,LL,SV,0
82,TrueBelief,baited,7,6.38333333,1,displacement,brown,1,f,beagle,6,SV,LL,1
83,FalseBelief,empty,7,1.15,1,no_displacement,brown,4,m,rottweiler,2,SV,LL,0
84,TrueBelief,baited,7,2.21666667,1,displacement,brown,11,m,golden_retriever,8,SV,LL,1
85,FalseBelief,baited,9,1.61666666,1,no_displacement,blue,2,f,white_swiss_shepherd,1,SV,LL,1
86,TrueBelief,empty,9,1.63333333,1,displacement,brown,4,f,white_swiss_shepherd,1,SV,LL,0
87,TrueBelief,baited,7,1.66666667,1,no_displacement,blue,9,f,white_swiss_shepherd,1,SV,LL,1
88,FalseBelief,baited,7,1.25,1,displacement,blue,2,f,parson_russel_terrier,3,SV,LL,1
89,FalseBelief,baited,7,2.73333334,1,displacement,blue,10,f,rhodesian_ridgeback,6,SV,LL,1
90,TrueBelief,baited,9,1.36666667,1,no_displacement,blue,11,m,rhodesian_ridgeback,6,SV,LL,1
91,TrueBelief,baited,7,2.76666667,1,displacement,blue,7,f,rhodesian_ridgeback,6,LL,JK,1
92,FalseBelief,empty,7,3.48333333,1,displacement,brown,0.42,m,borzoi,10,LL,JK,0
93,TrueBelief,empty,7,1.55,1,displacement,brown,7,m,rhodesian_ridgeback,6,LL,JK,0
94,TrueBelief,baited,7,2,1,displacement,blue,9,f,whippet,10,LL,JK,1
95,FalseBelief,empty,7,2.78333333,1,displacement,brown,6,f,whippet,10,LL,JK,0
96,TrueBelief,baited,7,1.43333333,1,no_displacement,blue,9,m,flat_coated_retriever,8,JK,LL,1
97,FalseBelief,empty,7,1.91666666,1,no_displacement,brown,6,m,irish_setter,7,JK,LL,0
98,TrueBelief,baited,7,3.5,1,no_displacement,blue,14,f,golden_retriever,8,JK,LL,1
99,FalseBelief,baited,7,2.01666667,1,no_displacement,blue,6,f,labrador,8,JK,LL,1
100,FalseBelief,baited,7,4.21666666,1,no_displacement,blue,3,m,hovawart,2,JK,LL,1
101,TrueBelief,baited,7,2.05,1,no_displacement,blue,8,m,hovawart,2,JK,LL,1
102,TrueBelief,baited,9,0.9,1,displacement,blue,5,m,beagle,6,JK,LL,1
103,TrueBelief,baited,7,16.41666663,1,displacement,blue,5,m,bernese_mountain_dog,2,JK,LL,1
104,FalseBelief,baited,9,1.61666666,1,displacement,blue,4,f,siberian_husky,5,JK,LL,1
105,TrueBelief,baited,7,3.75,1,displacement,brown,5,f,siberian_husky,5,JK,LL,1
106,TrueBelief,baited,7,4.31666666,1,no_displacement,brown,0.5,m,bernese_mountain_dog,2,JK,LL,1
107,FalseBelief,baited,7,1.86666667,1,no_displacement,brown,9,f,bernese_mountain_dog,2,JK,LL,1
108,FalseBelief,baited,7,2.56666667,1,displacement,blue,9,m,irish_setter,7,JK,LL,1
109,FalseBelief,empty,9,1.76666667,1,displacement,blue,2,m,hovawart,2,JK,LL,0
110,FalseBelief,empty,7,2.1,1,no_displacement,brown,10,f,hungarian_greyhound,10,JK,LL,0
111,FalseBelief,baited,7,2.08333334,1,no_displacement,brown,8,f,hovawart,2,JK,LL,1
112,TrueBelief,baited,7,0.86666667,1,no_displacement,brown,4,f,hovawart,2,JK,LL,1
113,TrueBelief,baited,7,1.56666666,1,no_displacement,blue,2,f,rottweiler,2,JK,LL,1
114,TrueBelief,baited,9,1.66666667,1,no_displacement,brown,1,f,irish_setter,7,BM,JK,1
115,TrueBelief,baited,7,1.58333333,1,no_displacement,blue,5,f,irish_setter,7,BM,JK,1
116,TrueBelief,baited,7,1.18333334,1,displacement,brown,5,m,english_setter,7,BM,JK,1
117,FalseBelief,empty,7,1.9,1,no_displacement,brown,1,f,english_setter,7,BM,JK,0
118,FalseBelief,empty,9,3.31666666,1,no_displacement,brown,1,m,boxer,2,JK,LL,0
119,TrueBelief,baited,7,2.06666666,1,no_displacement,brown,4,m,akita_inu,5,JK,LL,1
120,TrueBelief,empty,7,1.93333333,1,displacement,brown,2,f,whippet,10,JK,LL,0
121,TrueBelief,baited,7,1.316666667,1,no_displacement,blue,6,f,hungarian_greyhound,10,AH,SV,1
122,FalseBelief,baited,7,1.533333333,1,displacement,blue,1,m,vizsla,7,AH,SV,1
123,FalseBelief,empty,7,10.05,1,displacement,blue,6,f,hovawart,2,BM,SV,0
124,FalseBelief,baited,9,1.1,1,no_displacement,brown,5,f,weimaraner,7,BM,AH,1
125,TrueBelief,empty,7,1.733333333,1,no_displacement,blue,1,f,irish_terrier,3,AH,SV,0
126,TrueBelief,baited,9,1.55,1,displacement,blue,5,m,bernese_mountain_dog,2,AH,SV,1
127,TrueBelief,empty,7,0.966666667,1,displacement,brown,9,f,parson_russel_terrier,3,BM,AH,0
128,FalseBelief,baited,8,1.933333333,1,displacement,brown,6,m,hovawart,2,AH,SV,1
129,TrueBelief,baited,7,1.083333333,1,displacement,brown,8,f,hovawart,2,BM,AH,1
130,TrueBelief,empty,7,1.633333333,1,displacement,blue,1,f,hovawart,2,BM,AH,0
131,FalseBelief,empty,11,2.183333333,1,displacement,blue,7,m,doberman,2,AH,SV,0
132,FalseBelief,baited,7,1.95,1,no_displacement,blue,5,m,siberian_husky,5,BM,LL,1
133,FalseBelief,empty,7,2.6,1,no_displacement,blue,8,m,siberian_husky,5,BM,LL,0
134,FalseBelief,empty,7,2.883333333,1,displacement,blue,7,m,siberian_husky,5,BM,LL,0
135,TrueBelief,empty,7,2.533333333,1,displacement,brown,9,f,siberian_husky,5,BM,LL,0
136,TrueBelief,empty,9,2.766666667,1,no_displacement,brown,2,f,whippet,10,AH,SV,0
137,TrueBelief,baited,7,2.083333333,1,no_displacement,blue,3,m,irish_setter,7,AH,SV,1
138,TrueBelief,baited,7,26.25,1,displacement,blue,1,m,irish_setter,7,AH,SV,1
139,FalseBelief,baited,7,2.566666667,1,displacement,blue,5,f,spanish_greyhound,10,AH,SV,1
140,FalseBelief,baited,7,1.15,1,no_displacement,brown,3,f,american_staffordshire_terrier,3,AH,SV,1
141,FalseBelief,baited,7,1.133333333,1,no_displacement,brown,2,f,american_staffordshire_terrier,3,SV,AH,1
142,FalseBelief,empty,9,8.583333333,1,displacement,brown,3,f,giant_schnauzer,2,SV,AH,0
143,TrueBelief,baited,7,16.15,1,no_displacement,brown,2,m,rottweiler,2,SV,AH,1
144,TrueBelief,empty,8,1.133333333,1,no_displacement,blue,2,m,bull_terrier,3,SV,AH,0
